date,away,home,away_spread,home_spread,total_line,away_score,home_score,away_offrtg,away_defrtg,away_reb_percent,away_tov_percent,away_ts_percent,away_pace,away_pie,home_offrtg,home_defrtg,home_reb_percent,home_tov_percent,home_ts_percent,home_pace,home_pie
20241127,clippers,wizards,-10.5,10.5,223.5,121,96,109.6,108.8,52.1,16.4,56.7,99.25,50.1,102.6,119.6,47.9,16.2,53.9,102.85,40.7
20241127,knicks,mavericks,-4.5,4.5,234.5,114,129,124.9,116.2,52.6,12.1,62.9,98.45,55.6,117.9,111.9,52.1,14.2,59.5,100.4,52.4
20241127,pistons,grizzlies,8.5,-8.5,225.5,111,131,111.9,111.8,49.9,15.5,55.9,97.41,49.7,117.1,105.8,53.5,16.8,59.1,105.0,56.6
20241127,kings,timberwolves,3.5,-3.5,219.5,115,104,110.7,114.8,50.1,14.5,57.9,97.57,48.7,113.3,112.2,50.9,15.8,57.7,97.91,49.5
20241127,raptors,pelicans,2.5,-2.5,222.5,119,93,109.1,114.3,51.6,15.6,53.3,96.84,46.3,104.7,118.1,49.0,15.5,52.8,96.75,43.8
20241127,lakers,spurs,-2.5,2.5,228.5,119,101,116.4,118.7,46.0,12.3,59.5,98.55,50.0,116.0,110.4,48.9,13.9,59.6,99.9,54.3
20241127,nets,suns,8.5,-8.5,219.5,127,117,115.5,119.9,47.2,14.8,60.0,94.47,46.7,114.0,118.1,50.6,13.3,56.9,97.09,47.0
20241127,nuggets,jazz,-9.5,9.5,230.5,122,103,115.1,114.8,50.7,14.6,59.7,101.85,51.0,114.0,119.3,52.1,17.8,59.6,99.4,47.0
20241127,thunder,warriors,-2.5,2.5,229.5,105,101,116.6,109.9,46.3,11.6,57.7,99.8,53.6,112.9,111.4,51.0,14.6,56.3,102.05,50.7
20241129,knicks,hornets,-12.5,12.5,223.5,99,98,124.4,119.4,51.8,11.8,62.8,98.75,53.9,107.1,111.1,52.5,16.9,53.7,97.08,47.1
20241129,cavaliers,hawks,-5.5,5.5,244.5,101,117,122.7,113.6,50.3,13.6,62.9,100.55,54.8,110.0,114.1,51.2,15.2,55.3,106.3,48.8
20241129,pelicans,grizzlies,11.5,-11.5,230.5,109,120,101.2,116.7,49.6,16.2,51.3,97.0,43.0,116.8,105.1,52.6,16.7,59.3,105.35,56.8
20241129,magic,nets,-7.5,7.5,208.5,123,100,113.8,102.7,50.1,14.2,56.9,95.6,56.1,117.8,120.7,46.3,14.8,61.9,95.55,47.4
20241129,clippers,timberwolves,5.5,-5.5,214.5,92,93,110.7,107.5,52.3,16.5,56.9,99.8,51.1,110.0,111.6,49.3,15.9,56.9,98.11,48.7
20241129,pistons,pacers,5.5,-5.5,229.5,130,106,110.8,112.9,50.0,15.4,55.6,97.36,48.7,114.1,115.2,49.2,14.6,58.8,101.0,49.5
20241129,raptors,heat,8.5,-8.5,219.5,111,121,109.6,110.5,52.4,15.9,53.6,97.53,48.6,111.8,110.8,49.2,13.5,56.9,97.57,49.9
20241129,celtics,bulls,-11.5,11.5,243.5,138,129,120.1,112.3,48.2,12.0,60.3,95.66,53.3,115.9,121.1,47.7,14.8,61.3,104.6,47.5
20241129,thunder,lakers,-1.5,1.5,231.5,101,93,116.0,108.4,46.4,11.7,57.6,99.0,54.6,117.6,116.5,47.4,12.5,60.2,97.9,51.6
20241129,kings,blazers,-6.5,6.5,226.5,106,115,112.3,114.1,51.7,14.7,58.0,97.76,49.1,101.9,112.5,48.1,18.6,51.7,101.7,42.2
20241130,76ers,pistons,1.5,-1.5,216.5,111,96,103.5,112.0,47.1,14.2,53.5,97.42,44.8,113.2,112.6,50.8,15.3,57.2,97.99,50.2
20241130,wizards,bucks,14.5,-14.5,229.5,114,124,102.0,119.3,48.4,16.4,53.9,102.6,40.4,113.7,111.0,48.5,13.8,58.9,97.73,51.8
20241130,warriors,suns,2.5,-2.5,232.5,105,113,110.5,110.2,51.3,15.0,55.1,102.55,49.8,113.7,119.1,50.5,13.4,57.2,97.48,46.5
20241130,mavericks,jazz,-6.5,6.5,231.5,106,94,118.8,111.4,52.5,14.3,60.0,100.95,53.1,114.5,119.7,53.0,17.6,59.0,99.1,46.5
20241201,magic,nets,-7.5,7.5,210.5,100,92,113.6,102.9,50.3,14.7,57.6,96.0,56.2,117.1,121.8,45.4,14.7,61.9,96.15,46.9
20241201,pacers,grizzlies,7.5,-7.5,242.5,121,136,111.2,115.8,48.7,15.1,57.9,101.3,48.0,116.1,105.8,52.2,16.4,59.2,105.2,56.6
20241201,celtics,cavaliers,-1.5,1.5,235.5,111,115,121.7,112.5,48.8,11.6,61.0,96.49,53.7,119.7,114.0,49.2,12.9,61.0,100.15,52.8
20241201,pelicans,knicks,12.5,-12.5,225.5,85,118,102.7,116.3,50.0,16.0,51.7,97.75,43.8,123.0,116.8,52.0,12.6,62.0,98.05,54.3
20241201,heat,raptors,-4.5,4.5,222.5,116,119,113.0,110.7,48.8,13.5,57.3,97.37,49.8,110.5,112.2,53.0,16.8,54.9,97.44,49.2
20241201,thunder,rockets,-1.5,1.5,221.5,116,119,114.7,108.0,46.9,11.7,56.4,98.0,53.7,111.0,98.8,52.9,13.8,54.9,103.05,58.3
20241201,lakers,jazz,-7.5,7.5,231.5,105,104,115.6,116.4,47.0,13.0,59.6,97.55,50.9,113.6,120.0,52.9,17.4,57.7,98.45,45.8
20241201,mavericks,blazers,-7.5,7.5,228.5,137,131,117.6,108.8,52.4,14.8,59.4,100.8,53.9,103.6,111.2,48.8,18.2,52.7,101.15,44.4
20241201,spurs,kings,5.5,-5.5,225.5,127,125,114.1,111.7,48.4,13.8,58.6,100.05,52.4,112.0,115.4,51.2,15.5,58.2,97.29,48.2
20241201,nuggets,clippers,-2.5,2.5,222.5,122,126,116.2,114.2,50.1,14.2,60.1,101.0,51.9,107.9,104.1,51.0,15.7,55.3,99.05,51.4
